customerID,SeniorCitizen,tenure,Contract,MonthlyCharges,TotalCharges,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
9763-GRSKD,-0.44047699244535515,-0.7935388998255847,-0.8303371920781404,-0.49558993795762735,-0.7518141910776095,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
7469-LKBCI,-0.44047699244535515,-0.6712644212636308,1.5672763903115878,-1.5265520257178207,-0.8668892105228234,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False
8091-TTVAX,-0.44047699244535515,1.0405782786037243,0.3684695991167237,1.1805548756912025,1.4969940682629388,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False
0280-XJGEX,-0.44047699244535515,0.6737548429178625,-0.8303371920781404,1.291965294852385,1.212319705944604,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False
5129-JLPIS,-0.44047699244535515,-0.304440985577769,-0.8303371920781404,1.3518276096255575,0.17470196394915422,False,True,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
3655-SNQYZ,-0.44047699244535515,1.4889180333308887,1.5672763903115878,1.6095681315656059,2.4744805321136036,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False
8191-XWSZG,-0.44047699244535515,0.7960293214798164,0.3684695991167237,-1.4700153950987134,-0.5595442084634117,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
9959-WOFKT,-0.44047699244535515,1.5704343523721913,1.5672763903115878,1.3917358194743392,2.2480390302012685,False,True,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False
4190-MFLUW,-0.44047699244535515,-0.9158133783875386,-0.8303371920781404,-0.32099151986920754,-0.7779063976734742,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False
4183-MYFRB,-0.44047699244535515,-0.46747362366037426,-0.8303371920781404,0.8380094078224933,-0.18871258527903628,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False
8779-QRDMV,2.2699427831539776,-1.2826368140734004,-0.8303371920781404,-0.8381354058263368,-0.9936637811489242,False,True,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False
1680-VDCWW,-0.44047699244535515,-0.834297059346236,0.3684695991167237,-1.4982837104082671,-0.9218771010729918,False,True,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False
1066-JKSGK,-0.44047699244535515,-1.2826368140734004,-0.8303371920781404,-1.4866438158690392,-1.0022728848480673,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
3638-WEABW,-0.44047699244535515,1.0405782786037243,1.5672763903115878,-0.16468436462814615,0.5363063939380375,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False
6322-HRPFA,-0.44047699244535515,0.6737548429178625,-0.8303371920781404,-0.17466141709034147,0.30019620633281835,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False
6865-JZNKO,-0.44047699244535515,-0.10065018797451245,-0.8303371920781404,-0.3176658357151426,-0.3354205421623841,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False
6467-CHFZW,-0.44047699244535515,0.5922385238765598,-0.8303371920781404,1.1472980341505512,1.085545135318503,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
8665-UTDHZ,-0.44047699244535515,-1.2826368140734004,-0.8303371920781404,-1.1524125583854925,-0.9978358852492782,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False
5248-YGIJN,-0.44047699244535515,1.6111925118928425,1.5672763903115878,0.8446607761306237,1.800895428842693,False,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False
8773-HHUOZ,-0.44047699244535515,-0.6305062617429795,-0.8303371920781404,-0.005051525233019298,-0.5285735097713659,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True
3841-NFECX,2.2699427831539776,1.5704343523721913,1.5672763903115878,1.047527509528597,1.9763886965559965,True,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False
4929-XIHVW,2.2699427831539776,-1.2418786545527492,-0.8303371920781404,1.0192591942190437,-0.9309718465192661,False,True,False,True,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False
6827-IEAUQ,-0.44047699244535515,-0.2229246665364664,0.3684695991167237,0.043170895000925316,-0.18361334693415918,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True
7310-EGVHZ,-0.44047699244535515,-1.2826368140734004,-0.8303371920781404,-1.4849809737920063,-1.002250810223198,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False
3413-BMNZE,2.2699427831539776,-1.2826368140734004,-0.8303371920781404,-0.651897093198689,-0.9911914231635293,False,True,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False
6234-RAAPL,-0.44047699244535515,1.6111925118928425,1.5672763903115878,1.1655892969979098,2.1904021846667483,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,False
6047-YHPVI,-0.44047699244535515,-1.1196041759907953,-0.8303371920781404,0.16123268247023767,-0.8712599862470037,False,True,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
6572-ADKRS,-0.44047699244535515,0.5514803643559085,-0.8303371920781404,0.3308425743275596,0.5553788698253702,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False
5380-WJKOV,-0.44047699244535515,0.06238245010809279,-0.8303371920781404,1.380095924935111,0.5557982876978925,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
8168-UQWWF,-0.44047699244535515,-0.8750552188668873,-0.8303371920781404,1.097412771839574,-0.5231431520534446,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False
8865-TNMNX,-0.44047699244535515,-0.9158133783875386,0.3684695991167237,-0.5088926745738881,-0.8011509776611608,False,True,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
9489-DEDVP,-0.44047699244535515,1.5296761928515399,1.5672763903115878,0.14460426169991197,1.1399370109971927,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False
9867-JCZSP,-0.44047699244535515,-0.6305062617429795,0.3684695991167237,-1.4666897109446482,-0.8265147216363288,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
4671-VJLCL,-0.44047699244535515,1.2443690762069808,1.5672763903115878,0.49878962410784905,1.1351247427756201,True,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False
4080-IIARD,-0.44047699244535515,-0.7935388998255847,-0.8303371920781404,0.37740215248447173,-0.5778661471051779,True,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False
3714-NTNFO,-0.44047699244535515,0.6737548429178625,-0.8303371920781404,0.6534339372718783,0.7136097808906479,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False
5948-UJZLF,-0.44047699244535515,-1.2418786545527492,-0.8303371920781404,-0.5188697270360835,-0.9683441864234954,False,True,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
7760-OYPDY,-0.44047699244535515,-1.2418786545527492,-0.8303371920781404,0.5253950973403705,-0.9475278151714646,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False
7639-LIAYI,-0.44047699244535515,0.7960293214798164,1.5672763903115878,0.49546393995378407,0.8509580968292862,False,True,True,False,True,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False
2954-PIBKO,-0.44047699244535515,1.4889180333308887,1.5672763903115878,-0.023342788080377472,0.8669842744846145,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False
8012-SOUDQ,2.2699427831539776,0.4292058857939546,-0.8303371920781404,0.8446607761306237,0.6836103656928644,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False
9420-LOJKX,-0.44047699244535515,-0.7120225807842822,-0.8303371920781404,1.1389838237653884,-0.38142406039062604,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False
6575-SUVOI,2.2699427831539776,-0.304440985577769,-0.8303371920781404,0.1545813141621073,-0.23738713311649967,True,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False
7495-OOKFY,2.2699427831539776,-0.9973296974288413,-0.8303371920781404,0.5253950973403705,-0.7315717600721882,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False
4667-QONEA,2.2699427831539776,1.122094597645027,0.3684695991167237,0.3325054164045921,0.956276132082138,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False
1658-BYGOY,2.2699427831539776,-0.5897481022223282,-0.8303371920781404,1.017596352142011,-0.23743128236623892,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
8769-KKTPH,-0.44047699244535515,1.2443690762069808,0.3684695991167237,1.157275086612747,1.7751784908696115,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False
5067-XJQFU,2.2699427831539776,1.3666435547689346,0.3684695991167237,1.4499352921704791,2.112986475249069,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
3957-SQXML,-0.44047699244535515,0.06238245010809279,1.5672763903115878,-1.3270109764739122,-0.6163422182528872,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False
5954-BDFSG,-0.44047699244535515,1.6111925118928425,1.5672763903115878,1.4183412927068604,2.456180668096707,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False
0434-CSFON,-0.44047699244535515,0.5922385238765598,-0.8303371920781404,1.1855434019223006,1.0669803758031715,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
1215-FIGMP,-0.44047699244535515,1.122094597645027,-0.8303371920781404,0.833020881591396,1.3952741968638314,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False
0526-SXDJP,-0.44047699244535515,1.6111925118928425,1.5672763903115878,-0.7566561440517409,0.29653181860446504,False,True,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False
0557-ASKVU,-0.44047699244535515,-0.5897481022223282,0.3684695991167237,-0.3475969931017288,-0.5886164894166721,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False
5698-BQJOH,-0.44047699244535515,-0.9565715379081899,-0.8303371920781404,0.9826766685243272,-0.6326995152812591,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False
5122-CYFXA,-0.44047699244535515,-1.201120495032098,-0.8303371920781404,0.3474709950978853,-0.9034006400571384,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
8627-ZYGSZ,-0.44047699244535515,0.5922385238765598,0.3684695991167237,0.4671956246442306,0.6004331791842195,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
3410-YOQBQ,-0.44047699244535515,-0.059892028453861136,1.5672763903115878,0.4771726771064259,0.09132610581668273,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
3170-NMYVV,-0.44047699244535515,0.7145130024385138,1.5672763903115878,-1.4866438158690392,-0.6001835928483413,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False
7410-OIEDU,-0.44047699244535515,-0.9158133783875386,-0.8303371920781404,0.49878962410784905,-0.6194105911097613,False,True,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
2273-QCKXA,-0.44047699244535515,-1.2826368140734004,-0.8303371920781404,-0.5255210953442138,-0.9895137516734397,False,True,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True
0731-EBJQB,-0.44047699244535515,0.7960293214798164,0.3684695991167237,-1.4783296054838762,-0.529655166389976,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
1891-QRQSA,2.2699427831539776,1.2851272357276322,1.5672763903115878,1.554694343023531,2.122986280314996,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False
8028-PNXHQ,-0.44047699244535515,1.2036109166863296,1.5672763903115878,-1.3502907655523684,-0.38221874688593166,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False
5630-AHZIL,-0.44047699244535515,-1.201120495032098,-0.8303371920781404,-0.011702893541149671,-0.932848189633182,True,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,True,False,False,False
2673-CXQEU,2.2699427831539776,0.9590619595624216,0.3684695991167237,1.5181118173288144,1.6993742290674123,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False
6416-JNVRK,-0.44047699244535515,0.5514803643559085,0.3684695991167237,-0.3060259411759146,0.17593814294185156,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False
5590-ZSKRV,-0.44047699244535515,-0.9973296974288413,-0.8303371920781404,-0.339282782716566,-0.7982592018032435,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
0191-ZHSKZ,2.2699427831539776,-0.10065018797451245,-0.8303371920781404,0.3291797322505271,-0.0790458489268738,False,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
3887-PBQAO,-0.44047699244535515,0.5107222048352572,0.3684695991167237,-1.2954169770102935,-0.474049186343459,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False
5919-TMRGD,-0.44047699244535515,-1.2826368140734004,-0.8303371920781404,0.4821612033375233,-0.9761365290024635,True,False,True,False,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False
8108-UXRQN,-0.44047699244535515,-0.8750552188668873,-0.8303371920781404,-0.4756358330332367,-0.7615711752699718,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False
9191-MYQKX,-0.44047699244535515,-1.0380878569494927,-0.8303371920781404,0.34248246886678785,-0.7917913367164513,True,False,False,True,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False
9919-YLNNG,-0.44047699244535515,0.38844772627330326,-0.8303371920781404,1.29529097900645,0.899389823793184,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False
0318-ZOPWS,-0.44047699244535515,0.6737548429178625,1.5672763903115878,-1.4866438158690392,-0.5814422363340528,True,False,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False
4445-ZJNMU,-0.44047699244535515,-0.9565715379081899,-0.8303371920781404,1.1456351920735188,-0.6055477266916537,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False
4808-YNLEU,-0.44047699244535515,0.1031406096287441,0.3684695991167237,-0.0898564711616805,-0.03306440532350151,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False
1862-QRWPE,-0.44047699244535515,0.6329966833972112,1.5672763903115878,-1.4700153950987134,-0.5445113889272155,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False
2796-NNUFI,-0.44047699244535515,0.5514803643559085,1.5672763903115878,-1.493295184177169,-0.6018612643384309,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
3016-KSVCP,-0.44047699244535515,-0.14140834749516376,-0.8303371920781404,-1.03435077091618,-0.5655926556776815,False,True,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True
4767-HZZHQ,-0.44047699244535515,-0.10065018797451245,-0.8303371920781404,0.5719546754972822,0.12355505812629569,False,True,False,True,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False
2424-WVHPL,2.2699427831539776,-1.2826368140734004,-0.8303371920781404,0.32751689017349467,-0.9781894691153361,False,True,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False
7233-PAHHL,-0.44047699244535515,1.3666435547689346,1.5672763903115878,0.6368055165015525,1.5116295445514822,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True
6067-NGCEU,-0.44047699244535515,1.3258853952482834,-0.8303371920781404,1.5364030801761726,2.126518220294132,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False
9848-JQJTX,-0.44047699244535515,1.6111925118928425,1.5672763903115878,1.1988461385385614,2.281945654000971,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False
8637-XJIVR,-0.44047699244535515,-0.834297059346236,-0.8303371920781404,0.4688584667212631,-0.6017508912140829,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
9803-FTJCG,-0.44047699244535515,1.5704343523721913,0.3684695991167237,0.06645068407938091,1.0853464636946768,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False
0278-YXOOG,-0.44047699244535515,-1.1196041759907953,-0.8303371920781404,-1.4567126584824528,-0.960905037842441,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
